                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.56895,                 1.2135,                0.43829,                 1.1993,                0.98429,                      1,                0.99444,                  0.767,                0.97323,                0.98876,                0.98169,                0.70709,                0.87543,                 1.3787,                0.57348,                 1.5739,             0.00059775,             0.00059775,             0.00059775
                     24,                0.56016,                 1.2347,                0.44012,                 1.1814,                0.97437,                      1,                0.98792,                0.76289,                0.97437,                      1,                0.98792,                0.73235,                0.79997,                 1.2237,                0.56613,                 1.4108,             0.00056704,             0.00056704,             0.00056704
                     25,                0.52782,                 1.2176,                0.41797,                 1.1403,                0.99819,                      1,                  0.995,                0.83635,                0.98697,                0.98876,                0.98667,                0.78327,                0.66608,                 1.1823,                0.50265,                 1.2643,             0.00053608,             0.00053608,             0.00053608
                     26,                0.56476,                 1.2308,                0.41399,                 1.1745,                0.99729,                      1,                  0.995,                0.86656,                0.99729,                      1,                  0.995,                0.82687,                0.57851,                 1.0881,                0.48114,                 1.2027,               0.000505,               0.000505,               0.000505
                     27,                0.54427,                 1.1867,                0.41031,                 1.1544,                      1,                0.98736,                0.99489,                0.85735,                      1,                0.98736,                0.99489,                 0.8227,                0.61626,                0.96558,                0.50137,                 1.2678,             0.00047392,             0.00047392,             0.00047392
                     28,                0.53296,                 1.2037,                0.41057,                 1.1537,                0.99912,                      1,                  0.995,                0.87742,                0.99912,                      1,                  0.995,                0.83383,                0.56957,                 1.0265,                0.43058,                 1.2335,             0.00044296,             0.00044296,             0.00044296
                     29,                0.51584,                 1.2047,                0.39086,                 1.1445,                      1,                0.99601,                  0.995,                0.88423,                      1,                0.99601,                  0.995,                0.83046,                0.56694,                0.98161,                 0.4384,                 1.1812,             0.00041225,             0.00041225,             0.00041225
                     30,                0.52811,                 1.1798,                0.40707,                 1.1386,                0.98542,                      1,                0.99489,                0.88244,                0.98542,                      1,                0.99489,                0.82948,                0.54677,                 1.0336,                0.43824,                 1.1277,              0.0003819,              0.0003819,              0.0003819
                     31,                0.52698,                 1.1383,                0.38534,                 1.1573,                0.96553,                      1,                0.99302,                0.88726,                0.96553,                      1,                0.99366,                0.83272,                0.55035,                0.98985,                0.43868,                 1.2148,             0.00035204,             0.00035204,             0.00035204
                     32,                0.49974,                 1.1089,                0.36519,                 1.1354,                      1,                 0.9844,                0.99478,                0.89099,                0.98888,                 0.9996,                0.99489,                 0.8422,                0.53918,                0.97676,                0.43418,                 1.2151,             0.00032278,             0.00032278,             0.00032278
                     33,                0.50126,                 1.0754,                0.36909,                  1.119,                      1,                0.99902,                  0.995,                0.86668,                      1,                0.99902,                  0.995,                0.82086,                0.57455,                 1.0189,                0.45319,                  1.171,             0.00029424,             0.00029424,             0.00029424
                     34,                0.51919,                 1.1462,                0.38507,                  1.146,                 0.9982,                      1,                  0.995,                0.84098,                0.98698,                0.98876,                0.98389,                0.81333,                0.61723,                  1.049,                0.50033,                 1.1653,             0.00026653,             0.00026653,             0.00026653
                     35,                0.52433,                 1.1267,                0.37747,                 1.1506,                0.97796,                0.99712,                0.99231,                0.83552,                0.97796,                0.99712,                0.99231,                0.82894,                0.61278,                0.92214,                0.46377,                 1.2015,             0.00023977,             0.00023977,             0.00023977
                     36,                0.48275,                  1.056,                0.35786,                 1.1154,                0.99845,                      1,                  0.995,                0.88614,                0.99845,                      1,                  0.995,                0.84914,                0.52947,                0.96134,                0.40584,                 1.1866,             0.00021405,             0.00021405,             0.00021405
                     37,                0.47955,                 1.0344,                0.34947,                 1.1185,                      1,                 0.9992,                  0.995,                0.87396,                      1,                 0.9992,                  0.995,                0.84755,                0.56989,                0.95707,                0.41096,                 1.2294,             0.00018948,             0.00018948,             0.00018948
