                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.152,                 1.1932,                 1.1267,                0.67115,                  0.449,                0.49546,                 0.1622,                 2.4006,                 1.2284,                 1.2138,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.1286,                 1.1644,                  1.113,                0.68257,                  0.428,                0.47697,                0.15367,                 2.4167,                 1.2462,                 1.2144,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.1448,                 1.1808,                  1.109,                0.65929,                0.45571,                0.49857,                0.16539,                 2.3853,                 1.2175,                 1.2037,               0.000614,               0.000614,               0.000614
                     37,                 2.1193,                 1.1519,                 1.1184,                0.68868,                  0.433,                 0.4823,                0.16282,                 2.3701,                 1.2622,                 1.2084,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.1041,                  1.148,                 1.1037,                0.65668,                  0.454,                0.49202,                0.15677,                 2.4114,                 1.2291,                 1.2176,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.1063,                 1.1407,                 1.1117,                0.67067,                 0.4455,                0.49654,                0.15892,                 2.3878,                 1.2303,                 1.1999,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.1009,                 1.1305,                 1.1033,                0.67276,                 0.4575,                0.51205,                0.17015,                 2.3636,                 1.2042,                 1.2017,              0.0004556,              0.0004556,              0.0004556
                     41,                   2.08,                 1.1591,                 1.1185,                0.67329,                 0.4455,                0.49864,                 0.1629,                 2.3734,                 1.2814,                 1.2141,               0.000416,               0.000416,               0.000416
                     42,                 2.0616,                 1.1247,                 1.1147,                0.69017,                  0.463,                0.51042,                0.16628,                 2.3644,                 1.1973,                 1.2037,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.0547,                 1.1078,                 1.1141,                0.67293,                  0.462,                0.50401,                0.16771,                 2.3821,                  1.198,                 1.2137,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.0547,                 1.1129,                 1.1103,                0.67199,                 0.4625,                0.51144,                0.16779,                 2.3551,                  1.228,                 1.1998,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.0252,                 1.0856,                   1.11,                 0.6896,                0.44766,                0.49969,                0.16379,                 2.3991,                 1.2015,                 1.2211,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.0447,                 1.0902,                 1.1068,                0.67911,                 0.4655,                0.51421,                0.17197,                 2.3684,                 1.1665,                 1.2023,               0.000218,               0.000218,               0.000218
                     47,                  2.046,                 1.0919,                 1.1007,                0.69243,                   0.46,                0.51437,                0.16892,                  2.357,                 1.1639,                 1.1972,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.0331,                 1.0818,                 1.0997,                0.69399,                0.45017,                0.49791,                0.16356,                 2.3864,                 1.1841,                 1.2123,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.0107,                 1.0645,                 1.0923,                0.69529,                 0.4695,                  0.521,                0.17381,                 2.3529,                 1.1527,                 1.1907,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.0098,                 1.0609,                 1.0802,                 0.7091,                  0.463,                0.52142,                0.17396,                 2.3586,                 1.1599,                 1.1925,               5.96e-05,               5.96e-05,               5.96e-05
