                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.003,                 4.5175,                 4.2233,                0.00025,                0.00284,                0.00016,                  7e-05,                 5.0802,                 4.6648,                 4.1667,                0.00044,                0.00044,                0.00044
                      2,                 4.2425,                 3.7665,                 3.7402,                0.00027,                0.00363,                0.00015,                  6e-05,                 5.1101,                 4.6004,                 4.2263,             0.00088218,             0.00088218,             0.00088218
                      3,                  3.575,                 2.9781,                 2.8713,                0.00026,                0.00332,                0.00014,                  6e-05,                  5.187,                 4.5227,                 4.4206,              0.0013061,              0.0013061,              0.0013061
                      4,                 3.2488,                 2.5928,                 2.4137,                0.00134,                0.00648,                0.00068,                0.00023,                 5.0328,                 4.5228,                 4.3422,              0.0017119,              0.0017119,              0.0017119
                      5,                 3.0269,                 2.3129,                 2.1631,                0.29198,                0.05055,                0.04763,                0.01382,                 3.3393,                 3.1947,                 2.7648,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.9278,                  2.054,                 1.8918,                0.32453,                0.22082,                0.17128,                0.05503,                  2.801,                 2.3433,                 1.9972,               0.001802,               0.001802,               0.001802
                      7,                  2.876,                 1.9887,                 1.8127,                0.34291,                0.26031,                0.21092,                0.07251,                  2.709,                 2.3947,                 1.8664,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.7657,                 1.8798,                  1.729,                0.40689,                0.27831,                0.25406,                0.07958,                  2.698,                 2.4544,                 1.7773,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.7065,                 1.7934,                 1.6719,                0.46001,                0.29711,                0.28045,                0.09333,                 2.6067,                 1.9405,                 1.6969,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.6646,                 1.7408,                 1.6443,                 0.4851,                0.32033,                0.32689,                0.11025,                 2.6068,                 2.0991,                 1.6788,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.5636,                 1.6176,                  1.566,                0.49741,                0.31685,                0.33201,                0.11552,                  2.492,                 1.7248,                 1.6615,               0.001604,               0.001604,               0.001604
                     12,                 2.5502,                 1.5697,                 1.5561,                0.47072,                0.30295,                 0.2982,                 0.0904,                 2.6414,                 2.1671,                 1.6494,              0.0015644,              0.0015644,              0.0015644
