                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98996,                 3.5043,                 3.1066,                 1.6424,                0.00333,                      1,                 0.9731,                0.70659,                0.00333,                      1,                 0.9405,                0.46063,                0.69776,                 3.3337,                 2.6767,                 1.4424,                 0.0802,                 0.0022,                 0.0022
                      1,                0.56878,                 1.9335,                 1.6294,                 1.3317,                0.00333,                      1,                0.98309,                 0.7716,                0.00333,                      1,                0.96627,                 0.6231,                0.61178,                 2.2101,                 2.4575,                 1.1997,               0.059055,              0.0040545,              0.0040545
                      2,                0.55565,                 1.6822,                  1.177,                 1.2507,                0.99278,                0.91011,                0.98884,                 0.8008,                0.99278,                0.91011,                0.98884,                0.66241,                 0.6772,                 1.7308,                 1.9187,                 1.2629,               0.037454,              0.0054536,              0.0054536
                      3,                  0.569,                 1.5624,                 1.0392,                 1.2571,                0.99793,                0.95506,                0.99287,                0.77332,                0.99041,                0.97753,                0.99456,                0.71231,                0.78016,                 1.7423,                 1.1756,                 1.7791,               0.015397,              0.0063973,              0.0063973
                      4,                0.51847,                 1.4503,                0.92904,                  1.205,                 0.9775,                0.97645,                0.99307,                0.78176,                 0.9775,                0.97645,                0.99307,                0.64647,                0.76842,                 1.9705,                 1.1141,                 1.5222,                0.00604,                0.00604,                0.00604
                      5,                 0.5363,                 1.4416,                0.89403,                 1.2153,                0.97697,                0.95336,                0.97674,                0.83183,                0.97697,                0.95336,                0.98019,                0.60899,                0.62896,                 2.3112,                0.95755,                 1.2076,                0.00604,                0.00604,                0.00604
                      6,                0.49094,                 1.3686,                0.84422,                 1.1527,                0.97257,                0.96629,                0.99137,                0.84858,                0.96698,                0.98715,                0.99179,                0.75907,                0.58601,                  1.447,                 0.8435,                 1.2584,                0.00505,                0.00505,                0.00505
                      7,                0.45167,                 1.2553,                 0.7497,                 1.1297,                0.98637,                0.97753,                0.98961,                0.86942,                0.98637,                0.97753,                0.98993,                0.73629,                0.51808,                  1.508,                0.86833,                 1.1018,                0.00406,                0.00406,                0.00406
                      8,                0.41639,                  1.215,                0.71287,                 1.0999,                 0.9559,                0.97424,                0.99116,                0.83742,                 0.9425,                0.97753,                0.97596,                0.70796,                0.65425,                 1.6791,                0.79082,                 1.3938,                0.00307,                0.00307,                0.00307
                      9,                0.40909,                 1.1837,                0.67069,                 1.0756,                 0.9868,                      1,                0.99478,                0.91988,                 0.9868,                      1,                0.99478,                0.80172,                   0.41,                 1.2274,                0.57292,                0.94184,                0.00208,                0.00208,                0.00208
