                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.58367,                 1.3275,                0.75456,                 1.0563,                0.98886,                0.99769,                0.99367,                0.87007,                0.98886,                0.99769,                0.99367,                0.78763,                0.53814,                 1.1801,                0.92074,                 1.0135,               0.005446,               0.005446,               0.005446
                     25,                0.52165,                 1.1665,                0.72383,                 1.0428,                 0.9881,                      1,                0.99489,                0.86771,                 0.9881,                      1,                0.99489,                0.81578,                0.51823,                 1.0501,                  0.897,                0.98838,               0.005248,               0.005248,               0.005248
                     26,                0.53789,                 1.2796,                0.74353,                 1.0524,                0.98549,                      1,                0.99422,                0.86602,                0.98549,                      1,                0.99422,                0.84056,                0.53834,                0.93959,                0.92771,                 1.0546,                0.00505,                0.00505,                0.00505
                     27,                0.56033,                  1.245,                0.72676,                 1.0618,                0.98881,                0.99315,                0.99467,                0.87091,                0.98881,                0.99315,                0.99467,                0.82583,                0.53702,                0.97661,                0.98455,                  1.013,               0.004852,               0.004852,               0.004852
                     28,                0.51677,                 1.1929,                0.68136,                 1.0472,                      1,                0.98449,                  0.995,                0.87472,                      1,                0.98449,                  0.995,                0.80283,                0.53144,                 1.1032,                 1.0206,                  1.036,               0.004654,               0.004654,               0.004654
                     29,                0.59009,                 1.3648,                0.74425,                 1.0748,                0.97772,                0.98634,                0.99411,                 0.8893,                0.98886,                0.99752,                0.99489,                0.81946,                0.51297,                 1.0246,                0.88207,                 1.0079,               0.004456,               0.004456,               0.004456
                     30,                0.51943,                 1.1545,                0.71058,                 1.0441,                0.97771,                0.98585,                0.99267,                0.89368,                0.98886,                0.99708,                0.99489,                0.80645,                 0.5121,                 1.0534,                0.89331,                 1.0068,               0.004258,               0.004258,               0.004258
                     31,                0.46307,                  1.096,                0.64183,                 1.0341,                0.98837,                0.95499,                0.98809,                0.81991,                0.98837,                0.95499,                0.98809,                0.73007,                0.63239,                 1.3934,                 1.0095,                 1.1576,                0.00406,                0.00406,                0.00406
                     32,                0.49873,                 1.1031,                0.63202,                 1.0499,                0.99533,                0.92135,                0.99018,                0.85266,                0.99533,                0.92135,                0.99018,                0.79784,                0.57028,                 1.1025,                0.97007,                 1.0708,               0.003862,               0.003862,               0.003862
                     33,                0.52524,                  1.141,                0.67258,                  1.043,                0.97651,                0.96629,                0.99163,                0.88791,                0.97651,                0.96629,                0.99163,                0.80269,                0.49175,                 1.0938,                0.89043,                0.96756,               0.003664,               0.003664,               0.003664
                     34,                0.51946,                 1.2495,                0.67504,                 1.0591,                0.87878,                0.97744,                0.96585,                0.86198,                0.87878,                0.97744,                0.96585,                0.74949,                0.50682,                 1.1988,                 1.0579,                0.99594,               0.003466,               0.003466,               0.003466
                     35,                0.48187,                 1.0464,                0.63619,                 1.0244,                      1,                0.99772,                  0.995,                0.88995,                      1,                0.99772,                  0.995,                0.84194,                0.50922,                0.92939,                0.74549,                 1.0157,               0.003268,               0.003268,               0.003268
                     36,                0.43781,                 1.0529,                0.58152,                 1.0087,                0.99145,                0.97753,                0.99298,                0.89366,                0.99145,                0.97753,                0.99298,                0.84148,                0.48486,                 0.8996,                0.80021,                0.96134,                0.00307,                0.00307,                0.00307
                     37,                0.49402,                 1.1102,                0.58731,                 1.0575,                0.99709,                0.97753,                0.99467,                0.91861,                 0.9966,                      1,                  0.995,                0.84559,                0.44271,                0.92908,                0.74137,                0.90068,               0.002872,               0.002872,               0.002872
                     38,                0.51039,                 1.0805,                0.61584,                 1.0465,                0.97106,                0.95506,                0.99001,                0.90997,                0.97106,                0.95506,                0.99001,                 0.8212,                  0.473,                0.95383,                0.90767,                0.90925,               0.002674,               0.002674,               0.002674
                     39,                0.45861,                 1.0434,                0.56223,                 1.0093,                0.98935,                0.98876,                0.99489,                0.94498,                0.98935,                0.98876,                0.99489,                0.86518,                0.36414,                0.78396,                0.78907,                0.81288,               0.002476,               0.002476,               0.002476
                     40,                0.42494,                 1.2314,                 1.5463,                 1.1025,                 0.9911,                0.98876,                0.99489,                0.94997,                 0.9911,                0.98876,                0.99489,                0.88036,                0.34847,                0.73927,                0.69401,                0.80125,               0.002278,               0.002278,               0.002278
                     41,                0.36713,                0.92322,                 1.2216,                 1.0805,                      1,                0.98866,                0.99478,                0.91957,                0.99811,                      1,                  0.995,                0.85413,                 0.4053,                0.78879,                0.78745,                0.86426,                0.00208,                0.00208,                0.00208
                     42,                0.31556,                0.85641,                 1.0109,                 1.0125,                0.99717,                0.98876,                0.99489,                 0.9135,                      1,                0.99739,                  0.995,                0.85966,                0.44375,                0.79561,                0.83471,                0.90077,               0.001882,               0.001882,               0.001882
                     43,                0.30611,                0.86837,                0.89225,                0.99259,                0.98888,                0.99882,                0.99489,                0.93952,                0.99943,                      1,                  0.995,                0.86975,                0.36427,                0.77223,                 0.8087,                0.81758,               0.001684,               0.001684,               0.001684
                     44,                0.33861,                0.80646,                 0.9179,                 1.0159,                0.98888,                0.99887,                0.99489,                0.93501,                0.99893,                      1,                  0.995,                0.87644,                 0.3851,                0.74567,                 0.8021,                0.85219,               0.001486,               0.001486,               0.001486
                     45,                0.30105,                0.85664,                 0.8741,                 1.0126,                0.98805,                      1,                0.99489,                0.93422,                0.98805,                      1,                0.99489,                0.89339,                0.37699,                0.71922,                0.79958,                0.82264,               0.001288,               0.001288,               0.001288
                     46,                 0.2931,                0.75084,                0.84874,                 0.9952,                0.99729,                      1,                  0.995,                0.94638,                0.99729,                      1,                  0.995,                0.89429,                0.35689,                0.70093,                0.76094,                0.79196,                0.00109,                0.00109,                0.00109
                     47,                0.27674,                0.82411,                0.82223,                0.97761,                      1,                0.99733,                  0.995,                0.96351,                      1,                0.99733,                  0.995,                0.89262,                0.34012,                0.69729,                0.70662,                0.77068,               0.000892,               0.000892,               0.000892
                     48,                0.26957,                0.77423,                0.86197,                0.95042,                0.98803,                      1,                0.99478,                0.96087,                0.98803,                      1,                0.99489,                0.89766,                0.34487,                0.69008,                0.69376,                0.77268,               0.000694,               0.000694,               0.000694
                     49,                 0.2783,                0.75838,                0.82974,                0.96527,                0.98821,                      1,                0.99489,                0.95345,                0.98821,                      1,                0.99489,                0.89376,                0.34211,                0.68649,                0.68232,                0.77154,               0.000496,               0.000496,               0.000496
