                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3063,                 1.4021,                 1.1539,                0.63541,                  0.407,                0.42641,                0.12651,                  2.531,                 1.5002,                 1.2676,              0.0010075,              0.0010075,              0.0010075
                     35,                 2.2745,                 1.3921,                 1.1628,                0.62568,                 0.4235,                0.45607,                 0.1486,                 2.3945,                 1.3057,                 1.1956,             0.00099255,             0.00099255,             0.00099255
                     36,                 2.2854,                 1.3714,                 1.1504,                0.61984,                  0.431,                0.45469,                0.14659,                 2.4014,                 1.2705,                 1.2012,             0.00097763,             0.00097763,             0.00097763
                     37,                 2.2564,                 1.3681,                 1.1446,                0.63751,                  0.409,                0.45589,                0.14419,                 2.4286,                 1.3092,                 1.2109,              0.0009627,              0.0009627,              0.0009627
                     38,                 2.2531,                 1.3574,                 1.1482,                0.63851,                  0.429,                0.47148,                 0.1526,                 2.3757,                 1.3209,                 1.1808,             0.00094778,             0.00094778,             0.00094778
                     39,                 2.2788,                 1.3695,                 1.1497,                 0.6571,                 0.3955,                0.42524,                0.12738,                 2.4682,                 1.3071,                  1.225,             0.00093285,             0.00093285,             0.00093285
                     40,                 2.2556,                 1.3668,                 1.1482,                0.63652,                  0.435,                0.47891,                0.14945,                 2.4248,                 1.2809,                 1.2111,             0.00091792,             0.00091792,             0.00091792
                     41,                 2.2504,                 1.3567,                 1.1565,                0.66109,                  0.458,                0.49216,                0.15802,                 2.3701,                  1.303,                 1.1956,               0.000903,               0.000903,               0.000903
                     42,                 2.2281,                 1.3258,                 1.1376,                0.66127,                  0.431,                0.47395,                0.15269,                 2.4278,                 1.2758,                 1.2102,             0.00088808,             0.00088808,             0.00088808
                     43,                 2.2169,                 1.3257,                 1.1397,                0.64244,                  0.439,                0.47937,                0.15552,                 2.3968,                 1.2906,                 1.2008,             0.00087315,             0.00087315,             0.00087315
                     44,                 2.2082,                 1.3229,                 1.1339,                0.64729,                0.43586,                0.47367,                0.14877,                 2.4007,                 1.2563,                 1.1997,             0.00085823,             0.00085823,             0.00085823
                     45,                 2.1909,                   1.29,                 1.1198,                0.68542,                0.43031,                 0.4715,                0.14903,                 2.3935,                 1.2659,                 1.1992,              0.0008433,              0.0008433,              0.0008433
                     46,                 2.2145,                 1.3069,                 1.1269,                 0.6364,                0.44895,                0.48925,                  0.157,                    2.4,                 1.2886,                 1.2078,             0.00082838,             0.00082838,             0.00082838
                     47,                 2.2021,                 1.2985,                 1.1277,                0.66958,                 0.4535,                0.50005,                0.15897,                 2.3893,                 1.2447,                 1.1997,             0.00081345,             0.00081345,             0.00081345
                     48,                  2.202,                 1.2985,                 1.1243,                0.67684,                 0.4455,                0.49307,                0.15742,                 2.4097,                 1.2349,                 1.2135,             0.00079853,             0.00079853,             0.00079853
                     49,                 2.1744,                 1.2666,                 1.1219,                0.61954,                  0.459,                0.47444,                0.14789,                 2.4211,                 1.2459,                 1.2082,              0.0007836,              0.0007836,              0.0007836
                     50,                 2.1854,                 1.2914,                 1.1213,                0.68194,                  0.467,                0.51211,                0.16083,                 2.3718,                 1.2197,                 1.1884,             0.00076867,             0.00076867,             0.00076867
                     51,                 2.1449,                 1.2791,                 1.1205,                0.65765,                 0.4535,                0.50021,                0.16262,                 2.3353,                 1.2249,                 1.1743,             0.00075375,             0.00075375,             0.00075375
                     52,                 2.1989,                 1.3002,                 1.1148,                0.67627,                0.44286,                0.48619,                0.15329,                 2.3887,                 1.2185,                 1.1924,             0.00073883,             0.00073883,             0.00073883
                     53,                 2.1586,                 1.2611,                 1.1187,                 0.6762,                 0.4395,                0.49509,                0.15601,                 2.4019,                 1.2441,                  1.208,              0.0007239,              0.0007239,              0.0007239
                     54,                 2.1744,                 1.2649,                  1.117,                0.64965,                  0.468,                0.49881,                0.15563,                 2.4029,                 1.2208,                  1.198,             0.00070897,             0.00070897,             0.00070897
                     55,                 2.1579,                 1.2487,                 1.1256,                0.65902,                  0.447,                0.48811,                0.15571,                 2.3629,                  1.219,                 1.1808,             0.00069405,             0.00069405,             0.00069405
                     56,                  2.168,                 1.2526,                 1.1263,                 0.6762,                  0.465,                0.50894,                0.16746,                 2.3442,                 1.1919,                 1.1825,             0.00067913,             0.00067913,             0.00067913
                     57,                 2.1692,                  1.264,                 1.1178,                0.66796,                 0.4515,                0.48351,                0.15192,                 2.4036,                  1.186,                 1.2018,              0.0006642,              0.0006642,              0.0006642
                     58,                  2.136,                 1.2323,                 1.1131,                0.64634,                  0.466,                0.50258,                 0.1602,                 2.3787,                 1.2069,                 1.2002,             0.00064928,             0.00064928,             0.00064928
                     59,                 2.1454,                 1.2411,                 1.1152,                 0.6721,                0.48168,                0.51891,                0.16626,                 2.3428,                 1.1916,                 1.1896,             0.00063435,             0.00063435,             0.00063435
                     60,                 2.1698,                 1.2542,                 1.1139,                0.66084,                 0.4905,                0.53525,                0.17201,                 2.3471,                 1.1718,                 1.1759,             0.00061943,             0.00061943,             0.00061943
                     61,                 2.1644,                 1.2382,                 1.1111,                0.66813,                  0.494,                 0.5251,                0.16552,                 2.3338,                 1.2162,                  1.175,              0.0006045,              0.0006045,              0.0006045
                     62,                 2.1315,                 1.2187,                 1.0988,                0.67502,                 0.4855,                0.52834,                0.16895,                 2.3341,                 1.1814,                 1.1702,             0.00058958,             0.00058958,             0.00058958
                     63,                 2.1273,                 1.2088,                 1.1071,                0.66462,                   0.49,                 0.5235,                  0.166,                 2.3471,                  1.184,                 1.1788,             0.00057465,             0.00057465,             0.00057465
                     64,                 2.1179,                 1.1984,                 1.1037,                0.69038,                 0.4765,                0.52547,                0.17046,                 2.3152,                 1.1707,                 1.1655,             0.00055972,             0.00055972,             0.00055972
                     65,                 2.1131,                   1.21,                 1.1027,                0.63248,                0.47413,                0.51655,                0.17155,                 2.3237,                 1.1655,                 1.1649,              0.0005448,              0.0005448,              0.0005448
                     66,                 2.1246,                 1.2136,                  1.111,                0.66368,                 0.4975,                0.53183,                0.17255,                 2.3047,                  1.181,                 1.1602,             0.00052988,             0.00052988,             0.00052988
                     67,                  2.101,                 1.2021,                 1.1023,                0.67159,                 0.4875,                0.52778,                0.17128,                 2.3106,                 1.1726,                 1.1628,             0.00051495,             0.00051495,             0.00051495
                     68,                 2.1361,                 1.2129,                 1.1038,                0.65321,                 0.5085,                0.53485,                0.17548,                 2.3294,                 1.1828,                 1.1674,             0.00050002,             0.00050002,             0.00050002
                     69,                  2.143,                 1.2132,                 1.0997,                0.64015,                 0.4955,                0.52213,                0.16972,                 2.3137,                 1.1958,                 1.1631,              0.0004851,              0.0004851,              0.0004851
                     70,                 2.1152,                 1.2079,                 1.1007,                0.67209,                 0.4885,                 0.5348,                0.18115,                 2.2763,                 1.1637,                 1.1555,             0.00047018,             0.00047018,             0.00047018
                     71,                 2.0873,                 1.1643,                 1.0953,                0.66596,                 0.4995,                 0.5312,                0.17548,                 2.3098,                 1.1764,                 1.1713,             0.00045525,             0.00045525,             0.00045525
                     72,                 2.1214,                 1.2018,                 1.1081,                0.66471,                 0.4976,                0.53272,                0.17928,                  2.313,                 1.1372,                 1.1641,             0.00044033,             0.00044033,             0.00044033
                     73,                 2.0994,                 1.1775,                 1.0961,                0.65115,                 0.5055,                0.52438,                0.17204,                 2.3161,                 1.1889,                 1.1651,              0.0004254,              0.0004254,              0.0004254
                     74,                 2.0996,                 1.1821,                 1.0913,                0.64536,                0.50953,                0.52857,                0.16865,                 2.3255,                 1.1541,                 1.1697,             0.00041047,             0.00041047,             0.00041047
                     75,                 2.1043,                 1.1798,                 1.1051,                0.65529,                 0.5047,                0.53467,                0.17355,                 2.3065,                 1.1414,                  1.166,             0.00039555,             0.00039555,             0.00039555
                     76,                 2.1049,                 1.1938,                 1.1012,                0.66919,                  0.493,                0.54083,                0.17985,                 2.3051,                 1.1552,                  1.166,             0.00038062,             0.00038062,             0.00038062
                     77,                 2.0851,                 1.1725,                 1.0986,                0.67932,                 0.5025,                0.54568,                0.17851,                 2.3062,                 1.1576,                 1.1731,              0.0003657,              0.0003657,              0.0003657
                     78,                 2.1149,                 1.2044,                 1.1031,                0.65723,                0.49373,                 0.5367,                0.17838,                  2.281,                 1.1323,                 1.1544,             0.00035077,             0.00035077,             0.00035077
                     79,                 2.0821,                 1.1682,                 1.0841,                0.67998,                0.49932,                0.54342,                0.17944,                 2.2927,                  1.155,                 1.1576,             0.00033585,             0.00033585,             0.00033585
                     80,                 2.0711,                 1.1701,                 1.0918,                0.64527,                 0.4955,                 0.5252,                0.17526,                  2.323,                 1.1406,                 1.1704,             0.00032092,             0.00032092,             0.00032092
                     81,                  2.087,                 1.1669,                 1.0865,                0.65766,                0.51485,                0.54581,                0.17843,                 2.2956,                 1.1457,                 1.1624,               0.000306,               0.000306,               0.000306
                     82,                 2.0665,                 1.1633,                 1.0925,                0.66319,                0.52277,                0.54971,                0.18223,                 2.2821,                 1.1292,                 1.1545,             0.00029107,             0.00029107,             0.00029107
                     83,                 2.0389,                 1.1351,                 1.0862,                0.64333,                0.51226,                0.54598,                 0.1855,                 2.2731,                 1.1113,                 1.1491,             0.00027615,             0.00027615,             0.00027615
                     84,                 2.0906,                 1.1527,                 1.0911,                0.68489,                0.51294,                0.55564,                0.18357,                 2.2985,                 1.1194,                 1.1568,             0.00026123,             0.00026123,             0.00026123
                     85,                 2.0524,                 1.1383,                 1.0897,                0.66087,                0.50569,                0.54237,                0.18304,                 2.2815,                 1.1298,                 1.1503,              0.0002463,              0.0002463,              0.0002463
                     86,                  2.059,                 1.1424,                 1.0856,                0.67321,                 0.5155,                0.55271,                0.18597,                 2.2731,                 1.1262,                 1.1542,             0.00023138,             0.00023138,             0.00023138
                     87,                 2.0816,                 1.1644,                 1.0892,                0.65016,                0.50828,                 0.5431,                0.18186,                 2.2715,                 1.1224,                 1.1518,             0.00021645,             0.00021645,             0.00021645
                     88,                 2.0224,                 1.1196,                 1.0873,                0.66907,                 0.4995,                 0.5452,                0.18416,                 2.2878,                 1.1127,                 1.1589,             0.00020153,             0.00020153,             0.00020153
                     89,                 2.0938,                 1.1669,                   1.09,                0.66193,                 0.5095,                0.54485,                0.18226,                 2.2998,                 1.1233,                 1.1576,              0.0001866,              0.0001866,              0.0001866
                     90,                 2.0533,                 1.1397,                  1.079,                0.66975,                0.52019,                0.55727,                 0.1899,                 2.2595,                 1.1283,                 1.1477,             0.00017167,             0.00017167,             0.00017167
                     91,                 1.9592,                 1.0946,                  1.077,                0.67434,                 0.5025,                0.54024,                0.17908,                 2.3054,                 1.1394,                 1.1647,             0.00015675,             0.00015675,             0.00015675
                     92,                  1.961,                 1.0611,                 1.0679,                0.68652,                  0.515,                0.54568,                 0.1808,                 2.2907,                  1.148,                 1.1659,             0.00014182,             0.00014182,             0.00014182
                     93,                 1.9559,                 1.0503,                 1.0689,                0.68828,                 0.5055,                0.54595,                0.18222,                 2.2698,                 1.1484,                 1.1533,              0.0001269,              0.0001269,              0.0001269
                     94,                   1.95,                 1.0468,                 1.0697,                0.66866,                 0.5275,                0.55769,                0.18501,                 2.2681,                 1.1403,                 1.1576,             0.00011197,             0.00011197,             0.00011197
                     95,                 1.9411,                  1.022,                 1.0749,                0.67559,                0.52062,                0.55758,                0.18931,                 2.2637,                 1.1102,                   1.15,              9.705e-05,              9.705e-05,              9.705e-05
                     96,                 1.9558,                 1.0381,                 1.0702,                0.65595,                 0.5315,                0.55718,                0.18675,                 2.2702,                 1.1149,                 1.1541,             8.2125e-05,             8.2125e-05,             8.2125e-05
                     97,                 1.9412,                 1.0253,                  1.067,                0.66414,                  0.523,                0.55566,                 0.1852,                 2.2714,                 1.1108,                 1.1512,               6.72e-05,               6.72e-05,               6.72e-05
                     98,                 1.9336,                 1.0228,                 1.0649,                0.67707,                0.52206,                0.55453,                0.18662,                 2.2616,                 1.1038,                 1.1479,             5.2275e-05,             5.2275e-05,             5.2275e-05
                     99,                 1.9265,                 1.0152,                 1.0627,                0.67546,                 0.5224,                0.55845,                0.18802,                 2.2647,                 1.1041,                 1.1485,              3.735e-05,              3.735e-05,              3.735e-05
                    100,                 1.9118,                 1.0105,                 1.0586,                0.67229,                 0.5225,                0.55628,                0.18741,                 2.2706,                  1.097,                 1.1506,             2.2425e-05,             2.2425e-05,             2.2425e-05
